categoria,candidato,word,sim,fecha
Vivienda,FREILE,inversión,0.4803,2021-01-23
Vivienda,FREILE,identificar,0.3359,2021-01-24
Vivienda,FREILE,feliz,0.218,2021-01-05
Vivienda,FREILE,estatuas,0.078,2021-01-27
Vivienda,FREILE,extemporáneo,-0.0121,2021-01-29
Vivienda,HERVAS,construcción,0.5704,2021-03-11
Vivienda,HERVAS,pago,0.4075,2021-03-22
Vivienda,HERVAS,participación,0.3988,2021-03-27
Vivienda,HERVAS,empresario,0.3082,2021-03-26
Vivienda,HERVAS,stand,0.0651,2021-03-10
Vivienda,HERVAS,incluir,0.3675,2021-01-24
Vivienda,HERVAS,fundamentales,0.364,2021-01-20
Vivienda,HERVAS,debía,0.3116,2021-01-20
Vivienda,HERVAS,intenciones,0.168,2021-01-02
Vivienda,HERVAS,formativo,0.0728,2021-01-22
Vivienda,YAKU,según,0.4557,2021-03-13
Vivienda,YAKU,provincias,0.2441,2021-03-30
Vivienda,YAKU,bellas,0.1757,2021-03-15
Vivienda,YAKU,apoyaron,0.1489,2021-03-22
Vivienda,YAKU,parroquias,0.0975,2021-03-25
Vivienda,YAKU,reconstrucción,0.4107,2021-01-05
Vivienda,YAKU,juan,0.3295,2021-01-15
Vivienda,YAKU,campesino,0.3241,2021-01-09
Vivienda,YAKU,vivo,0.1886,2021-01-23
Vivienda,YAKU,porla,0.0243,2021-01-20
Vivienda,LASSO,construcción,0.5704,2021-03-30
Vivienda,LASSO,urbano,0.5083,2021-03-31
Vivienda,LASSO,digna,0.4398,2021-03-18
Vivienda,LASSO,seguros,0.3695,2021-03-14
Vivienda,LASSO,mies,0.1012,2021-03-27
Vivienda,LASSO,construcción,0.5704,2021-01-06
Vivienda,LASSO,reconstrucción,0.4107,2021-01-04
Vivienda,LASSO,restaurantes,0.2335,2021-01-26
Vivienda,LASSO,apresuradamente,0.076,2021-01-19
Vivienda,LASSO,enfoquemos,-0.1138,2021-01-29
Vivienda,ARAUZ,común,0.3502,2021-03-25
Vivienda,ARAUZ,organizadas,0.2328,2021-03-14
Vivienda,ARAUZ,jaime,0.2238,2021-03-11
Vivienda,ARAUZ,intercultural,0.1196,2021-03-20
Vivienda,ARAUZ,plurinacional,0.0105,2021-03-19
Vivienda,GUTIERREZ,construcción,0.5704,2021-03-30
Vivienda,GUTIERREZ,deja,0.335,2021-03-26
Vivienda,GUTIERREZ,naturaleza,0.3056,2021-03-16
Vivienda,GUTIERREZ,olvido,0.2375,2021-03-13
Vivienda,GUTIERREZ,embelesar,-0.1073,2021-03-30
Vivienda,GUTIERREZ,construcción,0.5704,2021-01-16
Vivienda,GUTIERREZ,reconstrucción,0.4107,2021-01-03
Vivienda,GUTIERREZ,anal,-0.0219,2021-01-30
Vivienda,GUTIERREZ,inicié,-0.0646,2021-01-10
Vivienda,GUTIERREZ,histerotomía,-0.1225,2021-01-21
Vivienda,FREILE,Derechos,0.3967,2021-03-26
Vivienda,FREILE,discusión,0.3049,2021-03-11
Vivienda,FREILE,aumenta,0.2592,2021-03-12
Vivienda,FREILE,consistentes,0.1888,2021-03-11
Vivienda,FREILE,sucederá,0.0981,2021-03-12
Vivienda,ARAUZ,violencia,0.3606,2021-01-24
Vivienda,ARAUZ,colectivo,0.353,2021-01-25
Vivienda,ARAUZ,pertinente,0.2153,2021-01-31
Vivienda,ARAUZ,politécnicas,0.0411,2021-01-22
Vivienda,ARAUZ,terminamos,0.0067,2021-01-01
Violencia,FREILE,cuestión,0.4837,2021-01-01
Violencia,FREILE,representan,0.3976,2021-01-22
Violencia,FREILE,continente,0.3173,2021-01-03
Violencia,FREILE,cómplices,0.3162,2021-01-25
Violencia,FREILE,mamita,-0.0938,2021-01-02
Violencia,HERVAS,sólo,0.4667,2021-03-17
Violencia,HERVAS,supo,0.1981,2021-03-18
Violencia,HERVAS,deportistas,0.1796,2021-03-13
Violencia,HERVAS,mostramos,0.0323,2021-03-20
Violencia,HERVAS,landázuri,-0.066,2021-03-23
Violencia,HERVAS,acto,0.5109,2021-01-22
Violencia,HERVAS,género,0.4624,2021-01-17
Violencia,HERVAS,proteger,0.4306,2021-01-01
Violencia,HERVAS,equidad,0.326,2021-01-08
Violencia,HERVAS,inteligencia,0.3213,2021-01-20
Violencia,YAKU,gobierno,0.4814,2021-03-15
Violencia,YAKU,defensa,0.3565,2021-03-31
Violencia,YAKU,acusa,0.3437,2021-03-26
Violencia,YAKU,ddhh,0.1436,2021-03-17
Violencia,YAKU,brasileira,0.0315,2021-03-22
Violencia,YAKU,corrupción,0.546,2021-01-02
Violencia,YAKU,indígenas,0.4017,2021-01-12
Violencia,YAKU,ambiente,0.3496,2021-01-13
Violencia,YAKU,autoritarismo,0.3309,2021-01-13
Violencia,YAKU,invadiendo,0.0528,2021-01-07
Violencia,LASSO,mujeres,0.5937,2021-03-20
Violencia,LASSO,prevenir,0.5562,2021-03-27
Violencia,LASSO,género,0.4624,2021-03-11
Violencia,LASSO,sigan,0.3615,2021-03-15
Violencia,LASSO,defensoría,0.2255,2021-03-31
Violencia,LASSO,víctimas,0.6599,2021-01-05
Violencia,LASSO,doméstica,0.6228,2021-01-14
Violencia,LASSO,atentado,0.4579,2021-01-24
Violencia,LASSO,sucedido,0.3982,2021-01-08
Violencia,LASSO,polibio,0.0366,2021-01-30
Violencia,ARAUZ,orden,0.3944,2021-03-19
Violencia,ARAUZ,necesidades,0.3597,2021-03-28
Violencia,ARAUZ,creencias,0.3529,2021-03-17
Violencia,ARAUZ,pude,0.1499,2021-03-12
Violencia,ARAUZ,sumarán,0.0714,2021-03-23
Violencia,GUTIERREZ,económicos,0.4175,2021-03-20
Violencia,GUTIERREZ,pretexto,0.3604,2021-03-18
Violencia,GUTIERREZ,logros,0.309,2021-03-12
Violencia,GUTIERREZ,golpista,0.0565,2021-03-29
Violencia,GUTIERREZ,vine,0.0472,2021-03-30
Violencia,GUTIERREZ,cara,0.3187,2021-01-06
Violencia,GUTIERREZ,inocencia,0.2574,2021-01-28
Violencia,GUTIERREZ,voluntariamente,0.2396,2021-01-31
Violencia,GUTIERREZ,vine,0.0472,2021-01-18
Violencia,GUTIERREZ,agallas,0.0168,2021-01-09
Violencia,FREILE,puesto,0.3746,2021-03-23
Violencia,FREILE,dejen,0.3014,2021-03-20
Violencia,FREILE,equipo,0.2626,2021-03-25
Violencia,FREILE,pragmáticas,0.0297,2021-03-17
Violencia,FREILE,confines,0.0194,2021-03-22
Violencia,ARAUZ,eliminación,0.4021,2021-01-13
Violencia,ARAUZ,mendicidad,0.2988,2021-01-29
Violencia,ARAUZ,libremente,0.2165,2021-01-30
Violencia,ARAUZ,interculturalidad,0.1666,2021-01-24
Violencia,ARAUZ,comprometo,0.0034,2021-01-27
Trabajo,FREILE,seguridad,0.557,2021-01-01
Trabajo,FREILE,crear,0.5519,2021-01-17
Trabajo,FREILE,empresa,0.4598,2021-01-13
Trabajo,FREILE,contratar,0.4484,2021-01-21
Trabajo,FREILE,hartos,0.082,2021-01-17
Trabajo,HERVAS,diferencia,0.4751,2021-03-17
Trabajo,HERVAS,transparente,0.2989,2021-03-21
Trabajo,HERVAS,hernán,0.1682,2021-03-17
Trabajo,HERVAS,ecuatorianas,0.069,2021-03-13
Trabajo,HERVAS,sorry,-0.0173,2021-03-29
Trabajo,HERVAS,pobreza,0.4553,2021-01-30
Trabajo,HERVAS,estatal,0.4141,2021-01-22
Trabajo,HERVAS,sale,0.3599,2021-01-12
Trabajo,HERVAS,artesanos,0.3499,2021-01-31
Trabajo,HERVAS,construido,0.2862,2021-01-28
Trabajo,YAKU,limita,0.3538,2021-03-18
Trabajo,YAKU,tasas,0.3272,2021-03-30
Trabajo,YAKU,imponga,0.2107,2021-03-31
Trabajo,YAKU,desprecio,0.1971,2021-03-17
Trabajo,YAKU,gaste,0.0699,2021-03-27
Trabajo,YAKU,plan,0.558,2021-01-09
Trabajo,YAKU,completo,0.5549,2021-01-19
Trabajo,YAKU,crear,0.5519,2021-01-03
Trabajo,YAKU,oportunidad,0.5371,2021-01-02
